,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
14x10,7.6105747,-8.692221,-4.448131,1.856371,5.2461805,-0.67941475,5.415307,15.726058,-6.8175535,5.10927,1.6497102,6.7149444,-7.0987377,-1.7402711,-5.749487,10.445364,-4.135483,-3.5666862,-6.620368,0.2557732,8.841392,-2.1247325,6.715508,-1.2926726,-6.26872,4.4292173,3.7844005,6.243497,6.572101,-3.6476216
14x11,7.737809,-8.307975,-4.587948,1.6013713,5.1664004,-0.6562029,5.0407352,15.739471,-6.699156,5.0372024,1.4494778,6.804615,-7.077141,-1.405625,-5.6610565,10.114361,-4.7256346,-3.7397068,-6.6294866,0.06109953,8.774594,-2.136594,6.6310368,-1.3551245,-6.230163,4.1537075,3.4812331,6.2030215,6.8144245,-3.7338674
14x20,9.6506405,-1.7850404,-4.0976715,4.6262083,4.941058,0.4259731,8.1489105,11.383718,-6.415054,1.7978344,0.8709031,8.228014,-9.158486,-1.6844213,-4.9731293,6.989415,-6.643461,0.61061347,-4.839046,-3.2895858,8.780916,-3.3849406,5.4284053,0.8828815,-8.600817,0.75319934,1.88274,4.326481,4.516262,-8.228133
14x21,8.561361,-2.1724017,-3.4289339,4.25662,4.8259096,-0.19419926,7.5023155,12.028341,-7.604694,2.9560347,0.42745322,7.757842,-8.620809,-1.7307881,-5.044685,6.492063,-6.2419524,0.6228776,-5.248621,-2.2631106,8.136967,-4.133702,5.4093275,0.1908639,-8.258632,1.1472666,1.1774021,4.7622833,5.092597,-8.430189
14x22,8.013525,-3.4336529,-3.8220596,3.1346304,4.766813,-0.73123,6.7721686,11.956308,-8.360456,3.7800488,1.1644955,6.199053,-8.402217,-1.614248,-6.0259156,6.9547973,-5.614544,0.64573884,-5.9673166,-1.0022376,7.8178353,-4.6635127,6.17698,-0.26733243,-7.865905,1.3037138,0.99173987,5.2752566,5.834167,-7.6640615
14x23,7.0703564,-4.998926,-3.298724,1.278995,4.722151,-1.1540529,5.904135,13.640293,-8.513063,4.232417,1.3195897,5.9434476,-7.4186535,-1.5120888,-6.7555213,7.5572567,-3.9884453,-0.05943191,-6.2331448,0.20546776,8.022773,-4.078368,6.715457,-0.62438077,-6.6684093,2.1166794,0.988595,6.3793344,6.5662975,-6.7633247
14x24,7.282437,-5.6505003,-4.5402613,1.0088482,4.2877417,-0.5937339,5.6283712,14.227092,-7.736561,4.518834,2.7122242,5.5744224,-7.8979273,-0.2325998,-7.207122,8.939358,-3.7859998,-0.93500805,-5.727663,0.32793128,8.70237,-2.8711174,8.285151,-0.6940409,-6.674594,2.119444,2.4181361,6.0928545,6.1908493,-5.7473164
14x25,7.2044663,-6.0441,-4.524974,0.44109988,4.0357394,-0.29562306,5.539415,14.675388,-7.083645,4.503871,2.5488071,5.9891586,-8.374594,-0.08926138,-6.187451,8.579769,-3.668509,-1.7479401,-5.658532,0.11565438,8.881509,-2.4419568,8.744895,-1.4448473,-6.9623585,2.0821357,3.1843135,5.4351735,6.107888,-5.7561197
14x26,7.4726853,-6.97136,-4.9861536,0.25527608,4.361953,-0.123300135,4.581664,14.717604,-6.2896233,4.224306,1.5812767,6.2164474,-9.329148,-0.11677408,-5.4654007,7.5260615,-4.100214,-2.2576067,-5.679249,-0.2267443,8.8859625,-1.7737144,8.558778,-1.1627617,-7.545993,1.3676729,4.137973,4.47608,6.706373,-5.356127
14x27,7.6313663,-8.388356,-3.729813,0.20939493,4.028229,0.85319924,4.090785,16.41874,-5.9649496,4.6492925,0.62402105,7.3292065,-8.04432,0.38364053,-5.0644464,7.9438834,-4.3836164,-2.5824475,-6.5802083,-1.1386942,9.140012,-1.2337754,8.045631,-2.1446126,-7.537418,1.7380533,2.9859865,4.2718287,6.772577,-5.1280127
